Kind,Name,PercentLackOfCohesion,,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,main.MainServer.cancel,,,,2,,1,,,,
Public Method,main.MainServer.checkPass,,,,1,,0,,,,
Private Method,main.MainServer.checkPermission,,,,3,,1,,,,
Public Method,main.MainServer.createFlightDaemon,,,,2,,1,,,,
Public Method,main.MainServer.deleteCity,,,,3,,2,,,,
Public Method,main.MainServer.deleteFlight,,,,3,,2,,,,
Public Method,main.MainServer.deleteFlightDaemon,,,,3,,0,,,,
Class,main.MainServer.deleteFlightDaemon.(Anon_1),0,,1,1,1,0,1,0,2,3
Public Method,main.MainServer.deleteFlightDaemon.(Anon_1).test,,,,1,,0,,,,
Public Method,main.MainServer.deleteUser,,,,4,,2,,,,
Public Method,main.MainServer.displayCity,,,,2,,1,,,,
Public Method,main.MainServer.displayCity,,,,3,,1,,,,
Public Method,main.MainServer.displayDaemon,,,,2,,1,,,,
Public Method,main.MainServer.displayFlight,,,,2,,1,,,,
Public Method,main.MainServer.displayFlight,,,,5,,4,,,,
Public Method,main.MainServer.displayHeaderDaemon,,,,1,,0,,,,
Public Method,main.MainServer.displayHeaderFlight,,,,1,,0,,,,
Private Method,main.MainServer.displayOrder,,,,2,,1,,,,
Public Method,main.MainServer.displayOrder,,,,2,,1,,,,
Public Method,main.MainServer.displayUser,,,,2,,1,,,,
Public Method,main.MainServer.displayUser,,,,3,,1,,,,
Public Method,main.MainServer.getCity,,,,1,,0,,,,
Public Method,main.MainServer.getCurrentUser,,,,1,,0,,,,
Public Method,main.MainServer.getDaemon,,,,1,,0,,,,
Public Method,main.MainServer.getFlight,,,,1,,0,,,,
Public Method,main.MainServer.getUser,,,,1,,0,,,,
Public Method,main.MainServer.isAdmin,,,,1,,0,,,,
Public Method,main.MainServer.isLogin,,,,1,,0,,,,
Public Method,main.MainServer.login,,,,3,,2,,,,
Public Method,main.MainServer.pay,,,,2,,1,,,,
Public Method,main.MainServer.removeCity,,,,1,,0,,,,
Public Method,main.MainServer.removeUser,,,,1,,0,,,,
Public Method,main.MainServer.reserveFlight,,,,3,,1,,,,
Public Method,main.MainServer.search,,,,3,,1,,,,
Public Method,main.MainServer.search,,,,3,,2,,,,
Private Method,main.MainServer.searchActiveFlights,,,,3,,2,,,,
Public Method,main.MainServer.stop,,,,1,,0,,,,
Private Method,main.MainServer.stringSearchFlights,,,,3,,2,,,,
