Kind,Name,PercentLackOfCohesion,LCOM,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,data.Order.getFlight,,,,1,,0,,,,
Public Method,data.Order.getPassager,,,,1,,0,,,,
Public Method,data.Order.getSeat,,,,2,,0,,,,
Public Method,data.Order.getStatus,,,,1,,0,,,,
Public Method,data.Order.hashCode,,,,1,,0,,,,
Public Method,data.Order.pay,,,,2,,1,,,,
Public Method,data.Order.printOrder,,,,2,,1,,,,
Public Method,data.Order.remove,,,,5,,3,,,,
Protected Method,data.Order.setCreatDate,,,,1,,0,,,,
Protected Method,data.Order.setStatus,,,,4,,3,,,,
Public Method,data.Order.toString,,,,4,,0,,,,
Public Enum Type,data.OrderStatus,100,,1,2,1,0,1,0,1,0
Public Method,data.OrderStatus.valueOf,,,,1,,0,,,,
Public Method,data.OrderStatus.values,,,,1,,0,,,,
Public Class,data.Passenger,66,,1,7,1,1,2,0,1,3
Public Constructor,data.Passenger.Passenger,,,,1,,0,,,,
Public Method,data.Passenger.addOrder,,,,1,,0,,,,
Public Method,data.Passenger.getIdentityID,,,,1,,0,,,,
Public Method,data.Passenger.getOrderList,,,,1,,0,,,,
Public Method,data.Passenger.removeOrder,,,,1,,0,,,,
Public Method,data.Passenger.reserveFlight,,,,2,,1,,,,
Public Abstract Class,data.User,82,,1,11,3,3,1,2,2,0
Public Method,data.User.changePass,,,,1,,0,,,,
Public Method,data.User.getID,,,,1,,0,,,,
Public Method,data.User.getPassHash,,,,1,,0,,,,
Public Method,data.User.getUserName,,,,1,,0,,,,
Public Static Method,data.User.hashPass,,,,5,,3,,,,
Public Method,data.User.setUserName,,,,1,,0,,,,
Public Method,data.User.toString,,,,1,,0,,,,
Package,exceptions,,,1,6,1,0,,,,
Public Class,exceptions.PermissionDeniedException,0,,1,2,1,0,2,0,1,0
Public Constructor,exceptions.PermissionDeniedException.PermissionDeniedException,,,,1,,0,,,,
Public Constructor,exceptions.PermissionDeniedException.PermissionDeniedException,,,,1,,0,,,,
Public Class,exceptions.StatusUnavailableException,0,,1,4,1,0,2,0,1,2
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Public Constructor,exceptions.StatusUnavailableException.StatusUnavailableException,,,,1,,0,,,,
Package,main,,,5,260,7,7,,,,
Public Class,main.Main,26,,10,185,7,7,1,0,1,7
Private Static Method,main.Main.add,,,,6,,3,,,,
Private Static Method,main.Main.addAdmin,,,,2,,1,,,,
Private Static Method,main.Main.addCity,,,,3,,1,,,,
Private Static Method,main.Main.addFlight,,,,8,,3,,,,
Private Static Method,main.Main.change,,,,13,,4,,,,
Private Static Method,main.Main.changeFlight,,,,15,,3,,,,
Private Static Method,main.Main.delete,,,,25,,6,,,,
Private Static Method,main.Main.list,,,,19,,7,,,,
Private Static Method,main.Main.login,,,,4,,3,,,,
Public Static Method,main.Main.main,,,,29,,3,,,,
Private Static Method,main.Main.pay,,,,9,,4,,,,
Private Static Method,main.Main.printHelp,,,,2,,1,,,,
